Index,Compound name,Q_R-,Q_R+,Q_T,Q_AFE_(A),Q_AFE_(O),CD_(2D),CD_(3D),target_label
Comp_66,KYNiOsO6_C,0.0752,0.8419,0,1.4366,0,0.23385,0,0
Comp_67,KYNiOsO6_R,0,0.8399,1.4016,0.42005,0,0,0.12045,2
Comp_68,KYVOsO6_C,0.008,0.7975,0,1.2764,0,0.23585,0,0
Comp_69,KYVOsO6_R,0,0.7569,1.3228,0.34685,0,0,0.04105,2
Comp_70,KYVReO6_C,0.0309,0.8231,0,1.2842,0,0.22345,0,0
Comp_71,KYVReO6_R,0,0.8075,1.3176,0.35895,0,0,0.04015,2
Comp_72,LaGdMnNiO6_C,0.04966,0.94145,0,1.4951,0,0.13226,0,0
Comp_73,LaGdMnNiO6_R,0,0.9504,1.36,5.2584,0,0,0.11575,2
Comp_74,LaMgMnNiO6_L,0,1.11239,1.61925,0.84795,0.52548,0.00548,0,1
Comp_75,LaSrMnNiO6_C,0.00736,0.26742,0,0.77348,0,0.12627,0,0
Comp_76,LaSrMnNiO6_L,0,0.1068,0.72512,0.05023,0.30896,0.00387,0,1
Comp_77,LaZrMnNiO6_C,0.09694,1.27699,0,2.20868,0,0.23885,0,0
Comp_78,LiCrMnNiO6_R,0,1.7491,2.28,5.36215,0,0,0.166,2
Comp_79,LuSnMnNiO6_C,0.2311,1.48171,0,2.47104,0,0.278475,0,0
Comp_80,LuSnMnNiO6_L,0,1.30285,1.97304,1.065855,0.26701,0.07555,0,1
Comp_81,LuSrMnNiO6_C,0.0002,0.43165,0,0.313,0,0.08199,0,0
Comp_82,LuZrMnNiO6_L,0,1.59819,2.0728,1.218265,0.28545,0.11766,0,1
Comp_83,MgGdMnNiO6_L,0,0.42506,0.30542,0.00105,0.15012,0.00025,0,1
Comp_84,MgHfMnNiO6_R,0,1.4567,2.2205,5.33935,0,0,0.1267,2
Comp_85,MgPbMnNiO6_R,0,1.2236,2.062,5.35225,0,0,0.1431,2
Comp_86,MgTbMnNiO6_C,0.02897,1.47123,0,1.78631,0,0.114295,0,0
Comp_87,MgTbMnNiO6_L,0,1.33024,1.75722,0.88947,0.3256,0.04441,0,1
Comp_88,MgTbMnNiO6_R,0,1.1485,1.9253,5.3317,0,0,0.10975,2
Comp_89,MgZrMnNiO6_C,0.08796,1.48982,0,2.3472,0,0.18981,0,0
Comp_90,MgZrMnNiO6_L,0,1.65384,1.9321,0.76918,0.4571,0.07531,0,1
Comp_91,MgZrMnNiO6_R,0,1.454,2.1495,5.33825,0,0,0.13065,2
Comp_92,NaLuCoOsO6_C,1.1519,0.0067,0,7.0505,0,0.17845,0,0
Comp_93,NaLuCoOsO6_R,0,1.2521,1.8596,0.58085,0,0,0.1406,2
Comp_94,NaLuCoWO6_C,0.0557,1.1322,0,2.0254,0,0.1739,0,0
Comp_95,NaLuCoWO6_L,0,1.38636,1.62462,0.653245,0.5653,0.0956,0,1
Comp_96,NaLuCoWO6_R,0,1.2129,1.8498,0.57815,0,0,0.15385,2
Comp_97,NaLuCrReO6_C,0.0214,1.1744,0,2.2517,0,0.1558,0,0
Comp_98,NaLuCrReO6_R,0,1.1517,1.6628,0.5126,0,0,0.15665,2
Comp_99,NaLuCrWO6_C,0.0557,1.1322,0,2.0254,0,0.1739,0,0
Comp_100,NaLuCrWO6_L,0,1.2531,1.88888,0.74377,0.63074,0.12084,0,1
Comp_101,NaLuCrWO6_R,0,1.192,1.8444,0.55155,0,0,0.0973,2
Comp_102,NaLuFeOsO6_C,0.0604,1.1417,0,1.9987,0,0.17295,0,0
Comp_103,NaLuFeOsO6_R,0,1.2158,1.8032,0.54415,0,0,0.0469,2
Comp_104,NaLuVWO6_C,0.071,1.1275,0,2.0082,0,0.19905,0,0
Comp_105,NaLuVWO6_L,0,1.34331,1.63072,0.660395,0.54532,0.07723,0,1
Comp_106,NaLuYWO6_R,0,1.1637,1.8486,0.541,0,0,0.1261,2
Comp_107,NaYCoOsO6_C,0.0487,1.1364,0,7.5484,0,0.16865,0,0
Comp_108,NaYCoOsO6_L,0,1.2705,1.5292,0.4113,0.4424,0.0839,0,1
Comp_109,NaYCoOsO6_R,0,1.1382,1.5937,0.4861,0,0,0.12725,2
Comp_110,NaYCoReO6_C,0.0479,1.0708,0,7.5762,0,0.1754,0,0
Comp_111,NaYCoReO6_L,0,1.2335,1.5596,0.4166,0.4562,0.0622,0,1
Comp_112,NaYCoReO6_R,0,1.1694,1.6678,0.5127,0,0,0.15055,2
Comp_113,NaYCoWO6_C,0.0567,1.098,0,7.5692,0,0.2058,0,0
Comp_114,NaYCoWO6_L,0,1.2335,1.5596,0.4166,0.4562,0.0622,0,1
Comp_115,NaYCrWO6_L,0,1.15893,1.71131,0.66916,0.53848,0.07068,0,1
Comp_116,NaYFeOsO6_C,0.1688,1.4779,0,7.4164,0,0.06055,0,0
Comp_117,NaYFeOsO6_L,0,2.3413,5.7337,2.45875,0.4206,2.0955,0,1
Comp_118,NaYFeOsO6_L,0,1.20016,1.45108,0.614735,0.38843,0.04154,0,1
Comp_119,NaYFeOsO6_R,0,1.2021,1.7098,0.53505,0,0,0.159,2
Comp_120,NaYFeReO6_C,0.0597,1.2822,0,7.3873,0,0.21215,0,0
Comp_121,NaYFeReO6_L,0,1.2705,1.5292,0.4113,0.4424,0.0839,0,1
Comp_122,NaYFeReO6_R,0,1.2021,1.7098,0.53505,0,0,0.159,2
Comp_123,NaYFeWO6_C,0.0655,1.1488,0,7.5435,0,0.2216,0,0
Comp_124,NaYFeWO6_L,0,1.2894,1.5748,0.39845,0.5381,0.0617,0,1
Comp_125,NaYFeWO6_R,0,1.2021,1.7098,0.53505,0,0,0.159,2
Comp_126,NaYMnOsO6_C,0.1688,1.4779,0,2.2062,0,0.06055,0,0
