Index,Compound name,A site,A'site,B site,B'site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Fermi_energy,_cellength_a,_cellength_b,_cellength_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_groupS,Space_group_NoS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,Energy,Energy_C,Energy_R,Energy_diff,Energy_diff(meV),Energy_5-atom_unitcell,target_label
Comp_24,GdMgMnNiO6,Gd,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.053,0.89,0.53,0.69,0.71,0.61,0.743295904,3.14601346,5.13006,5.32539,7.343189,90,89.970032,90,200.612736,P21,4,P4/nmm,129,-8.357,2.5255,0.0035,0.03125,2.101,5.9475,0.6485,0.083,0.059,0,0.377,0.6085,4.908,0.396,0.581,8.28,1.564416667,3.398333333,-0.019921225,0.019921205,-0.063351102,-0.063351102,0.003430981,-0.003431001,0.059602922,0.059602902,0.019921215,0.063351102,0.003430991,0.059602912,0.066409464,0.059701581,2.522704886,8.634919557,-129.80202,-129.97752,-129.97056,0.1755,175.5,43.875,0
Comp_25,GdSnMnNiO6,Gd,Sn,Mn,Ni,3,4,8,8,3,2,6,6,1.053,0.81,0.53,0.69,0.9315,0.61,0.823218255,5.98544998,5.217313,5.465586,7.494729,90,89.586777,90,213.71167,P21,4,P4/nmm,129,8.375,2.4645,1.734,0.021583333,0.2475,6.599,1.3175,1.3545,1.214,0.397,0.3555,0.568,4.93,0.364,0.482,8.229,1.564083333,3.441583333,-0.020078834,0.020078813,-0.06624759,-0.06624759,0.015474248,-0.015474268,0.061783911,0.06178389,0.020078823,0.06624759,0.015474258,0.061783901,0.069223568,0.063692253,19.76532875,23.39520451,-132.60738,-132.68467,-132.89987,0.2925,292.49,73.1225,0
Comp_26,GdSnMnNiO6,Gd,Sn,Mn,Ni,3,4,8,8,3,2,6,6,1.053,0.81,0.53,0.69,0.67,0.61,0.728862974,5.98470084,5.217313,5.465586,7.494729,90,89.586777,90,213.71167,P21,4,P4/nmm,129,8.375,2.4645,1.734,0.021583333,0.2475,6.599,1.3175,1.3545,1.214,0.397,0.3555,0.568,4.93,0.364,0.482,8.229,1.564083333,3.441583333,-0.020078834,0.020078813,-0.06624759,-0.06624759,0.015474248,-0.015474268,0.061783911,0.06178389,0.020078823,0.06624759,0.015474258,0.061783901,0.069223568,0.063692253,19.76616355,23.25002546,-132.60738,-132.68467,-132.89987,0.2925,292.49,73.1225,0
Comp_27,HgCeMnNiO6,Hg,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.97,0.53,0.69,1.055,0.61,0.867779927,4.86902646,5.361731,5.385354,7.61232,90,89.956787,90,219.804286,P21,4,P4/nmm,129,9.701,2.717,1.745,0.050833333,0.5195,0.305,9.5075,1.966,5.636,0.745,0.36,0.575,4.872,0.3545,0.465,8.2045,1.567666667,3.41375,-0.002067548,0.002067528,-0.027340861,-0.027340861,0.011596717,-0.011596737,0.047898859,0.047898839,0.002067538,0.027340861,0.011596727,0.047898849,0.027418924,0.049282693,14.74356618,18.84626201,-124.2135406,-124.6503639,-124.5143916,0.4368,436.823,109.20583,0
Comp_28,HgHfMnNiO6,Hg,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.83,0.53,0.69,0.68,0.61,0.732471206,4.48122687,5.126988,5.337204,7.612506,90,89.843864,90,208.306161,P21,4,P4/nmm,129,9.728,2.7455,1.7545,0.051,0.5355,0.3405,9.5105,0.477,0.7775,2.121,0.359,0.569,4.8675,0.3545,0.4595,8.205,1.561,3.44725,0.000850707,-0.000850727,-0.028747479,-0.028747479,0.025596696,-0.025596717,0.081985433,0.081985412,0.000850717,0.028747479,0.025596707,0.081985423,0.028760064,0.085888305,21.58608752,24.47433094,-125.62965,-126.03162,-125.52583,0.402,401.97,100.4925,0
Comp_29,HgSnMnNiO6,Hg,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.81,0.53,0.69,0.67,0.61,0.728862974,4.53640862,5.17713,5.320809,7.632325,90,89.847076,90,210.243234,P21,4,P4/nmm,129,9.714,2.747,1.755,0.049083333,0.5365,0.342,9.5105,1.1,1.5195,0.614,0.361,0.569,4.86,0.354,0.457,8.199,1.567666667,3.415333333,0.001944723,-0.001944743,-0.025651255,-0.025651255,0.019748857,-0.019748877,0.07191921,0.07191919,0.001944733,0.025651255,0.019748867,0.0719192,0.025724869,0.074581426,20.9608581,24.49112535,-104.83841,-104.94253,-104.81429,0.1041,104.12,26.03,0
Comp_30,KGdCoReO6,K,Gd,Co,Re,1,3,8,8,2,6,6,6,1.51,1.053,0.745,0.55,1.2815,0.6475,0.931680867,4.4247,5.554807,5.433218,7.94178,89.625473,90.010391,89.91758,239.681314,P21,4,P4/nmm,129,3.953,2.6945,0.745,0.016491583,1.962,5.587,0.0555,0.22,6.5135,1.1785,0.3045,0.395,7.14,0.63,0.968,4.5645,1.558916667,3.4575,-0.021233158,-0.022616919,0.003447961,0.003447961,0.060453079,0.060607231,-0.010296119,0.009124177,0.021925039,0.003447961,0.060530155,0.009710148,0.022194498,0.061304051,6.30668727,21.02932515,-141.276456,-140.720668,-140.498508,-0.5558,-555.788,-138.947,1
Comp_31,KGdFeWO6,K,Gd,Fe,W,1,3,8,8,2,6,6,6,1.51,1.053,0.78,0.6,1.2815,0.69,0.912270849,4.24074316,5.555073,5.476591,8.08523,89.406982,90.008522,91.144974,245.91357,P21,4,P4/nmm,129,5.983,3.701,0.048,0.001237,1.962,5.5865,0.054,2.1275,5.9715,0.8465,0.2865,0.3735,6.1015,0.7205,1.113,4.165,1.55925,3.468166667,-0.01867103,-0.019132378,0.000519215,0.000519215,0.060164839,0.061639581,-0.003547027,0.00868319,0.018901704,0.000519215,0.06090221,0.006115109,0.018908834,0.061208445,6.539958012,20.83635507,-154.56579,-153.685964,-153.786571,-0.7792,-779.219,-194.80475,1
Comp_32,KGdFeZrO6,K,Gd,Fe,Zr,1,3,8,8,4,4,6,6,1.51,1.019,0.78,0.6,1.2645,0.69,0.906377402,2.4501,5.626616,5.532843,7.889167,89.991943,89.99353,89.975021,245.599088,P21,4,P4/nmm,129,7.963,3.8355,0.075,0.030583333,1.964,5.584,0.056,0.217,6.5055,1.1495,0.423,0.671,5.857,0.548,0.839,2.523,1.5655,3.442833333,-0.015409898,-0.015352565,0.008450961,0.008450961,0.0557945,0.055805353,-0.006683069,0.006161644,0.015381231,0.008450961,0.055799927,0.006422357,0.017549958,0.056168305,6.272659313,19.52486475,-147.137128,-146.766877,-146.35744,-0.3703,-370.251,-92.56275,1
Comp_33,KGdMnWO6,K,Gd,Mn,W,1,3,8,8,2,6,6,6,1.51,1.053,0.83,0.6,1.2815,0.715,0.901226408,4.1128524,5.631323,5.482551,8.110482,89.416115,90.004997,89.98864,250.390144,P21,4,P4/nmm,129,9.609,4.532,0.093,0.018833333,1.962,5.585,0.054,0.22,6.518,1.178,0.205,0.246,4.947,0.719,1.108,4.1515,1.559166667,3.470666667,-0.02019271,-0.020233659,0.003339994,0.003339994,0.066050586,0.066093453,-0.008723845,0.008245598,0.020213185,0.003339994,0.06607202,0.008484722,0.020487274,0.06661458,6.568655021,24.08307612,-158.640406,-157.539129,-157.80893,-0.8315,-831.476,-207.869,1
Comp_34,KGdNiReO6,K,Gd,Ni,Re,1,3,8,8,2,6,6,6,1.51,1.053,0.69,0.55,1.2815,0.62,0.944686564,4.4587,5.533272,5.418515,7.861864,89.731133,90.002571,90.003044,235.712736,P21,4,P4/nmm,129,1.992,1.719,0.7415,0.007611167,1.962,5.589,0.057,0.221,6.518,1.1855,0.337,0.437,8.231,0.63,0.967,4.566,1.558166667,3.457666667,-0.022168312,-0.022288294,0.002631326,0.002631326,0.059189868,0.059145597,-0.010786222,0.010340036,0.022228303,0.002631326,0.059167733,0.010563129,0.022383506,0.060103247,6.118137309,20.80662405,-138.002134,-137.442854,-137.190811,-0.5593,-559.28,-139.82,1
Comp_35,KGdNiWO6,K,Gd,Ni,W,1,3,8,8,2,6,6,6,1.51,1.053,0.69,0.6,1.2815,0.645,0.932848387,3.3569,5.5158,5.418676,7.912756,89.599609,89.995949,90.001076,236.493341,P21,4,P4/nmm,129,4.013,1.764,0.0355,0.004118083,1.963,5.59,0.057,0.216,6.506,1.169,0.3385,0.443,8.209,0.724,1.121,4.1835,1.558333333,3.473166667,-0.018729726,-0.018777805,0.002882403,0.002882403,0.057011876,0.05690615,-0.008369026,0.007798243,0.018753765,0.002882403,0.056959013,0.008083635,0.018973981,0.057529769,6.333193881,18.47339414,-147.531001,-146.694079,-146.642737,-0.8369,-836.922,-209.2305,1
