Index,MagpieData minimum Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData range AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData mean Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData mode Electronegativity,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData mean NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData mean GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,std_dev oxidation state,avg anion electron affinity,compound possible,max ionic char,avg ionic char,density,vpa,packing fraction,spacegroup_num,sine coulomb matrix eig 3,sine coulomb matrix eig 5,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,sine coulomb matrix eig 16,sine coulomb matrix eig 17,sine coulomb matrix eig 18,sine coulomb matrix eig 19,structural complexity per atom,crystal_system_triclinic,target_label,Compound name
Comp_36,8.0,8.0,27.0,87.0,74.2,87.0,15.9994,141.2506,39.0712614,15.9994,54.8,626.5871999999999,54.8,16.0,13.0,13.0,16.0,2.0,6.0,3.1,2.0,66.0,196.0,99.4,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.6,4.0,0.0,0.0,0.0,0.7,0.0,6.0,8.0,7.7,2.1800000000000006,6.0,0.0,0.0,0.0,0.9599999999999997,2.0,0.0,2.24,0.0,0.0,1.26,0.0,2.0,16.0,3.9,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,84.9,87.47999999999999,12.0,-2.0,3.214550253664318,-282000.0,1,0.7147530549426948,0.133768121485372,7.546032684331114,10.6855830158663,0.6029411969768523,4,5800.656761035561,1448.4245169717199,1102.8965981070276,107.9575325408902,62.21658961539597,73.69048477424964,71.09850978579445,70.07017357184974,70.41588055087753,65.09918765735635,68.2633449011691,66.25487941086804,66.6045286474898,67.15850145425932,66.89227540201604,3.321928094887362,0,1,GdSnMnNiO6_L
Comp_37,8.0,8.0,27.0,87.0,74.2,87.0,15.9994,141.2506,39.0712614,15.9994,54.8,626.5871999999999,54.8,16.0,13.0,13.0,16.0,2.0,6.0,3.1,2.0,66.0,196.0,99.4,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.6,4.0,0.0,0.0,0.0,0.7,0.0,6.0,8.0,7.7,2.1800000000000006,6.0,0.0,0.0,0.0,0.9599999999999997,2.0,0.0,2.24,0.0,0.0,1.26,0.0,2.0,16.0,3.9,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,84.9,87.47999999999999,12.0,-2.0,3.214550253664318,-282000.0,1,0.7147530549426948,0.133768121485372,7.546032684331114,10.6855830158663,0.6029411969768523,4,5800.656761035561,1448.4245169717199,1102.8965981070276,107.9575325408902,62.21658961539597,73.69048477424964,71.09850978579445,70.07017357184974,70.41588055087753,65.09918765735635,68.2633449011691,66.25487941086804,66.6045286474898,67.15850145425932,66.89227540201604,3.321928094887362,0,1,GdSnMnNiO6_L
Comp_38,8.0,8.0,8.0,87.0,67.0,87.0,15.9994,141.2506,35.3404614,15.9994,54.8,679.6560000000001,54.8,16.0,14.0,11.8,16.0,2.0,6.0,3.1,2.0,66.0,196.0,105.0,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,0.7,0.0,2.0,8.0,6.5,1.5,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.24,0.0,0.0,1.26,0.0,0.0,16.0,3.5,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,93.3,97.55999999999999,12.0,-2.0,3.3166247903554,-282000.0,1,0.7877573323062756,0.1570449205132853,6.873234693311192,10.980440229146721,0.7756342319861801,2,2992.0835472317594,1448.8495492715047,1103.2162256923073,108.1613569661276,60.319924985500755,73.93190795500492,71.08632827333736,70.46536512912913,69.77774903080129,65.0386125594702,66.06397089385271,68.82594067011303,67.49540774489783,67.2206337015146,67.15341208843492,3.521928094887362,1,0,GdSrMnNiO6_C
Comp_39,8.0,8.0,15.0,87.0,72.1,87.0,15.9994,184.5906,46.8598493,15.9994,54.8,570.7328,54.8,16.0,13.0,12.8,16.0,2.0,6.0,3.2,2.0,66.0,204.0,99.5,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,1.5,0.0,4.0,22.0,8.3,3.8800000000000003,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.24,0.0,0.0,2.3400000000000003,0.0,0.0,22.0,4.1,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,87.4,90.47999999999999,12.0,-2.0,3.278719262151,-282000.0,1,0.7396165690769709,0.13515404887332383,8.35568669044413,10.936873091948293,0.6207233299520671,2,8300.75510297131,1448.6165157181276,1103.051389975352,108.98347582579754,61.380670605082415,74.23214818825214,71.3453944346984,70.46793077445984,65.09854366141904,69.13076471614534,68.57088182545512,66.3403591135588,67.19674085279972,67.02982214490461,66.80489399792592,3.521928094887362,1,0,HgCeMnNiO6_C
Comp_40,8.0,8.0,15.0,87.0,72.1,87.0,15.9994,184.5906,46.8598493,15.9994,54.8,570.7328,54.8,16.0,13.0,12.8,16.0,2.0,6.0,3.2,2.0,66.0,204.0,99.5,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,1.5,0.0,4.0,22.0,8.3,3.8800000000000003,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.24,0.0,0.0,2.3400000000000003,0.0,0.0,22.0,4.1,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,87.4,90.47999999999999,12.0,-2.0,3.278719262151,-282000.0,1,0.7396165690769709,0.13515404887332383,8.35568669044413,10.936873091948293,0.6207233299520671,2,8300.75510297131,1448.6165157181276,1103.051389975352,108.98347582579754,61.380670605082415,74.23214818825214,71.3453944346984,70.46793077445984,65.09854366141904,69.13076471614534,68.57088182545512,66.3403591135588,67.19674085279972,67.02982214490461,66.80489399792592,3.521928094887362,1,0,HgCeMnNiO6_C
Comp_41,8.0,8.0,15.0,87.0,72.1,87.0,15.9994,184.5906,46.8598493,15.9994,54.8,570.7328,54.8,16.0,13.0,12.8,16.0,2.0,6.0,3.2,2.0,66.0,204.0,99.5,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,1.5,0.0,4.0,22.0,8.3,3.8800000000000003,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.24,0.0,0.0,2.3400000000000003,0.0,0.0,22.0,4.1,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,87.4,90.47999999999999,12.0,-2.0,3.278719262151,-282000.0,1,0.7396165690769709,0.13515404887332383,8.336628472002207,10.961875683482505,0.619307541968088,7,8364.676021086134,1448.70849566259,1103.1614563042185,108.67012758403345,61.54254171994215,74.02688000281262,70.9472336614516,70.17373887764978,70.13061351680696,65.15258144023512,68.46035006781864,66.38201461285118,67.25656478060272,67.1496185443607,66.72241089459541,3.321928094887362,0,2,HgCeMnNiO6_R
Comp_42,8.0,8.0,45.0,87.0,75.1,87.0,15.9994,184.5906,52.2676862,15.9994,54.8,771.6328000000001,54.8,16.0,12.0,12.9,16.0,2.0,6.0,3.2,2.0,66.0,175.0,96.6,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,2.8,0.0,6.0,20.0,9.7,4.9799999999999995,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,8.0,2.7,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,87.4,90.47999999999999,12.0,-2.0,3.265986323710904,-282000.0,1,0.6817442582266291,0.1302215029645029,9.417256589937338,10.380649248539825,0.5487557071678744,2,13967.61679855633,1447.7679388796644,1102.3354794581828,109.14425792117409,73.52300408173981,72.14199012229831,62.53208096354892,70.85474911947946,68.98462431709136,68.24791811916865,64.82746953952815,65.8756736666832,66.89073045268366,66.46262298328855,66.50106793838862,3.521928094887362,1,0,HgHfMnNiO6_C
Comp_43,8.0,8.0,45.0,87.0,75.1,87.0,15.9994,184.5906,52.2676862,15.9994,54.8,771.6328000000001,54.8,16.0,12.0,12.9,16.0,2.0,6.0,3.2,2.0,66.0,175.0,96.6,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,2.8,0.0,6.0,20.0,9.7,4.9799999999999995,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,8.0,2.7,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,87.4,90.47999999999999,12.0,-2.0,3.265986323710904,-282000.0,1,0.6817442582266291,0.1302215029645029,9.385918519494199,10.415308564697387,0.546929597319102,4,13962.850016927212,1448.228906985043,1102.5536536801906,109.96847307583612,61.84306630518526,74.20838417956784,71.0094561261338,70.01718440074903,69.75297571471444,65.06689217195326,65.61795160039264,66.16212498573532,68.49167652377692,67.55854390644436,66.97720465661789,3.321928094887362,0,1,HgHfMnNiO6_L
Comp_44,8.0,8.0,45.0,87.0,75.1,87.0,15.9994,184.5906,52.2676862,15.9994,54.8,771.6328000000001,54.8,16.0,12.0,12.9,16.0,2.0,6.0,3.2,2.0,66.0,175.0,96.6,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,2.8,0.0,6.0,20.0,9.7,4.9799999999999995,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,8.0,2.7,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,87.4,90.47999999999999,12.0,-2.0,3.265986323710904,-282000.0,1,0.6817442582266291,0.1302215029645029,9.35744220660317,10.447004147635173,0.5452702457798493,7,14068.666088461527,1447.9880453100434,1102.6061232459042,108.70657932206268,73.45029658941681,62.48265979498476,71.5695998202939,70.53240840025974,70.23765517074791,68.15048690767385,64.85687812218987,66.96871148928551,66.69282601508871,66.30737552920809,66.09514199742335,3.321928094887362,0,2,HgHfMnNiO6_R
Comp_45,8.0,8.0,52.0,87.0,78.6,87.0,15.9994,184.5906,44.2720614,15.9994,54.8,491.504,54.8,16.0,9.0,13.9,16.0,2.0,6.0,3.1,2.0,66.0,139.0,93.0,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.6,4.0,0.0,0.0,0.0,1.4,0.0,6.0,20.0,9.3,4.42,6.0,0.0,0.0,0.0,0.9599999999999997,2.0,0.0,1.1199999999999999,0.0,0.0,0.0,0.0,0.0,5.0,2.3,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,82.1,84.12,12.0,-2.0,3.265986323710904,-282000.0,1,0.5905846039144353,0.1128421980816836,8.321342311474655,10.554851815480736,0.5129008493256012,2,5802.056318130972,1447.9827278341065,1102.5578045218595,107.90561928285229,62.59650428036248,73.34168886831165,72.06845937120454,70.61059493913291,69.86507446847165,68.06969471694349,64.79584768218427,67.0697688399268,66.45843262875631,66.29523527800939,66.0139149319357,3.521928094887362,1,0,HgSnMnNiO6_C
